<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2022.05.20;00:00:00;0.70470;0.70472;0.70405;0.70435;47;0;92
2022.05.20;00:10:00;0.70435;0.70483;0.70431;0.70456;58;0;42
2022.05.20;00:20:00;0.70472;0.70483;0.70439;0.70483;66;0;42
2022.05.20;00:30:00;0.70482;0.70482;0.70434;0.70444;50;0;21
2022.05.20;00:40:00;0.70444;0.70461;0.70439;0.70450;35;0;20
2022.05.20;00:50:00;0.70454;0.70467;0.70450;0.70467;48;0;16
2022.05.20;01:00:00;0.70468;0.70502;0.70457;0.70491;166;0;11
2022.05.20;01:10:00;0.70491;0.70503;0.70436;0.70448;226;0;7
2022.05.20;01:20:00;0.70448;0.70466;0.70441;0.70454;238;0;7
2022.05.20;01:30:00;0.70454;0.70466;0.70430;0.70443;228;0;7
2022.05.20;01:40:00;0.70443;0.70490;0.70427;0.70453;167;0;7
2022.05.20;01:50:00;0.70448;0.70465;0.70432;0.70439;116;0;7
2022.05.20;02:00:00;0.70439;0.70461;0.70430;0.70457;181;0;3
2022.05.20;02:10:00;0.70454;0.70476;0.70452;0.70469;164;0;1
2022.05.20;02:20:00;0.70469;0.70482;0.70446;0.70464;177;0;3
2022.05.20;02:30:00;0.70464;0.70471;0.70448;0.70457;254;0;1
2022.05.20;02:40:00;0.70456;0.70487;0.70444;0.70457;292;0;1
2022.05.20;02:50:00;0.70457;0.70478;0.70408;0.70423;340;0;0
2022.05.20;03:00:00;0.70423;0.70472;0.70406;0.70469;660;0;1
2022.05.20;03:10:00;0.70468;0.70484;0.70373;0.70388;462;0;0
2022.05.20;03:20:00;0.70388;0.70419;0.70374;0.70418;434;0;0
2022.05.20;03:30:00;0.70418;0.70439;0.70397;0.70409;309;0;1
2022.05.20;03:40:00;0.70408;0.70408;0.70319;0.70324;483;0;0
2022.05.20;03:50:00;0.70324;0.70335;0.70204;0.70283;1237;0;0
2022.05.20;04:00:00;0.70283;0.70325;0.70272;0.70308;864;0;0
2022.05.20;04:10:00;0.70311;0.70371;0.70217;0.70345;1164;0;0
2022.05.20;04:20:00;0.70345;0.70361;0.70264;0.70290;962;0;0
2022.05.20;04:30:00;0.70290;0.70413;0.70280;0.70402;984;0;0
2022.05.20;04:40:00;0.70405;0.70423;0.70306;0.70308;826;0;1
2022.05.20;04:50:00;0.70307;0.70330;0.70251;0.70287;877;0;1
2022.05.20;05:00:00;0.70287;0.70297;0.70155;0.70157;860;0;1
2022.05.20;05:10:00;0.70157;0.70162;0.70094;0.70147;1059;0;0
2022.05.20;05:20:00;0.70146;0.70199;0.70132;0.70187;599;0;1
2022.05.20;05:30:00;0.70190;0.70190;0.70130;0.70166;525;0;2
2022.05.20;05:40:00;0.70166;0.70228;0.70152;0.70217;642;0;0
2022.05.20;05:50:00;0.70217;0.70217;0.70126;0.70133;436;0;0
2022.05.20;06:00:00;0.70132;0.70141;0.70085;0.70105;462;0;0
2022.05.20;06:10:00;0.70105;0.70162;0.70101;0.70158;430;0;1
2022.05.20;06:20:00;0.70158;0.70165;0.70130;0.70142;569;0;1
2022.05.20;06:30:00;0.70144;0.70181;0.70140;0.70169;320;0;1
2022.05.20;06:40:00;0.70170;0.70179;0.70085;0.70086;509;0;0
2022.05.20;06:50:00;0.70086;0.70122;0.70059;0.70059;863;0;0
2022.05.20;07:00:00;0.70060;0.70115;0.70022;0.70110;634;0;0
2022.05.20;07:10:00;0.70107;0.70176;0.70107;0.70163;440;0;0
2022.05.20;07:20:00;0.70163;0.70258;0.70162;0.70237;650;0;0
2022.05.20;07:30:00;0.70238;0.70238;0.70146;0.70166;507;0;0
2022.05.20;07:40:00;0.70166;0.70262;0.70153;0.70244;493;0;0
2022.05.20;07:50:00;0.70243;0.70282;0.70236;0.70268;342;0;0
2022.05.20;08:00:00;0.70268;0.70289;0.70253;0.70282;597;0;0
2022.05.20;08:10:00;0.70281;0.70361;0.70272;0.70354;710;0;0
2022.05.20;08:20:00;0.70359;0.70403;0.70325;0.70340;571;0;0
2022.05.20;08:30:00;0.70338;0.70441;0.70331;0.70418;789;0;0
2022.05.20;08:40:00;0.70419;0.70465;0.70379;0.70383;795;0;0
2022.05.20;08:50:00;0.70381;0.70428;0.70356;0.70405;839;0;0
2022.05.20;09:00:00;0.70408;0.70416;0.70337;0.70415;1129;0;1
2022.05.20;09:10:00;0.70416;0.70445;0.70384;0.70399;922;0;0
2022.05.20;09:20:00;0.70399;0.70426;0.70342;0.70365;749;0;1
2022.05.20;09:30:00;0.70366;0.70453;0.70365;0.70424;587;0;0
2022.05.20;09:40:00;0.70424;0.70478;0.70417;0.70433;676;0;0
2022.05.20;09:50:00;0.70433;0.70477;0.70413;0.70468;579;0;0
2022.05.20;10:00:00;0.70468;0.70520;0.70442;0.70471;973;0;0
2022.05.20;10:10:00;0.70471;0.70569;0.70467;0.70521;967;0;0
2022.05.20;10:20:00;0.70521;0.70544;0.70426;0.70463;839;0;0
2022.05.20;10:30:00;0.70463;0.70576;0.70440;0.70514;1064;0;0
2022.05.20;10:40:00;0.70514;0.70643;0.70512;0.70635;960;0;0
2022.05.20;10:50:00;0.70635;0.70702;0.70599;0.70602;693;0;0
2022.05.20;11:00:00;0.70601;0.70604;0.70482;0.70503;711;0;0
2022.05.20;11:10:00;0.70508;0.70533;0.70472;0.70526;626;0;0
2022.05.20;11:20:00;0.70526;0.70607;0.70511;0.70603;669;0;0
2022.05.20;11:30:00;0.70601;0.70651;0.70555;0.70651;636;0;1
2022.05.20;11:40:00;0.70648;0.70672;0.70619;0.70665;784;0;0
2022.05.20;11:50:00;0.70668;0.70737;0.70656;0.70671;617;0;0
2022.05.20;12:00:00;0.70670;0.70727;0.70647;0.70713;614;0;0
2022.05.20;12:10:00;0.70713;0.70713;0.70652;0.70690;672;0;0
2022.05.20;12:20:00;0.70689;0.70689;0.70625;0.70640;464;0;0
2022.05.20;12:30:00;0.70640;0.70650;0.70616;0.70633;442;0;0
2022.05.20;12:40:00;0.70634;0.70665;0.70615;0.70664;474;0;0
2022.05.20;12:50:00;0.70665;0.70682;0.70630;0.70632;514;0;0
2022.05.20;13:00:00;0.70632;0.70687;0.70598;0.70674;648;0;0
2022.05.20;13:10:00;0.70674;0.70697;0.70622;0.70681;560;0;0
2022.05.20;13:20:00;0.70681;0.70699;0.70658;0.70682;385;0;0
2022.05.20;13:30:00;0.70682;0.70690;0.70665;0.70688;385;0;0
2022.05.20;13:40:00;0.70688;0.70701;0.70673;0.70685;388;0;0
2022.05.20;13:50:00;0.70689;0.70697;0.70640;0.70646;580;0;0
2022.05.20;14:00:00;0.70646;0.70648;0.70559;0.70560;575;0;0
2022.05.20;14:10:00;0.70559;0.70617;0.70532;0.70611;439;0;0
2022.05.20;14:20:00;0.70611;0.70611;0.70547;0.70561;378;0;0
2022.05.20;14:30:00;0.70562;0.70601;0.70550;0.70560;402;0;0
2022.05.20;14:40:00;0.70561;0.70624;0.70560;0.70600;367;0;0
2022.05.20;14:50:00;0.70602;0.70640;0.70567;0.70571;591;0;0
2022.05.20;15:00:00;0.70572;0.70647;0.70564;0.70628;624;0;0
2022.05.20;15:10:00;0.70628;0.70660;0.70563;0.70601;617;0;0
2022.05.20;15:20:00;0.70600;0.70629;0.70585;0.70612;660;0;1
2022.05.20;15:30:00;0.70613;0.70629;0.70563;0.70608;539;0;0
