<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2022.05.20;00:00:00;105.816;105.822;105.737;105.811;38;0;40
2022.05.20;00:10:00;105.810;105.861;105.801;105.808;85;0;24
2022.05.20;00:20:00;105.802;105.837;105.801;105.835;77;0;22
2022.05.20;00:30:00;105.823;105.839;105.823;105.839;120;0;18
2022.05.20;00:40:00;105.838;105.839;105.820;105.825;170;0;20
2022.05.20;00:50:00;105.822;105.844;105.798;105.837;86;0;21
2022.05.20;01:00:00;105.837;105.856;105.823;105.848;139;0;8
2022.05.20;01:10:00;105.853;105.866;105.830;105.830;174;0;8
2022.05.20;01:20:00;105.830;105.863;105.821;105.843;168;0;8
2022.05.20;01:30:00;105.843;105.847;105.817;105.822;197;0;8
2022.05.20;01:40:00;105.822;105.844;105.816;105.832;207;0;8
2022.05.20;01:50:00;105.834;105.836;105.791;105.805;147;0;8
2022.05.20;02:00:00;105.806;105.809;105.793;105.800;75;0;2
2022.05.20;02:10:00;105.800;105.827;105.800;105.814;95;0;1
2022.05.20;02:20:00;105.813;105.833;105.798;105.828;158;0;1
2022.05.20;02:30:00;105.826;105.832;105.800;105.811;240;0;0
2022.05.20;02:40:00;105.796;105.817;105.794;105.806;220;0;1
2022.05.20;02:50:00;105.807;105.818;105.779;105.800;319;0;0
2022.05.20;03:00:00;105.801;105.837;105.798;105.828;422;0;0
2022.05.20;03:10:00;105.828;105.837;105.754;105.764;272;0;0
2022.05.20;03:20:00;105.764;105.787;105.758;105.784;329;0;0
2022.05.20;03:30:00;105.785;105.789;105.757;105.759;408;0;0
2022.05.20;03:40:00;105.760;105.760;105.715;105.718;421;0;0
2022.05.20;03:50:00;105.718;105.783;105.679;105.764;1004;0;0
2022.05.20;04:00:00;105.766;105.810;105.721;105.726;618;0;0
2022.05.20;04:10:00;105.727;105.756;105.686;105.754;607;0;0
2022.05.20;04:20:00;105.753;105.795;105.732;105.765;675;0;0
2022.05.20;04:30:00;105.765;105.814;105.743;105.787;697;0;0
2022.05.20;04:40:00;105.785;105.792;105.734;105.734;588;0;0
2022.05.20;04:50:00;105.734;105.744;105.706;105.735;419;0;0
2022.05.20;05:00:00;105.734;105.736;105.591;105.594;580;0;1
2022.05.20;05:10:00;105.586;105.614;105.547;105.604;606;0;0
2022.05.20;05:20:00;105.604;105.627;105.595;105.623;391;0;0
2022.05.20;05:30:00;105.624;105.634;105.591;105.625;309;0;1
2022.05.20;05:40:00;105.625;105.641;105.602;105.641;505;0;0
2022.05.20;05:50:00;105.638;105.639;105.598;105.600;211;0;1
2022.05.20;06:00:00;105.600;105.621;105.592;105.617;199;0;0
2022.05.20;06:10:00;105.616;105.635;105.609;105.629;271;0;1
2022.05.20;06:20:00;105.625;105.625;105.596;105.599;222;0;0
2022.05.20;06:30:00;105.607;105.638;105.602;105.635;217;0;0
2022.05.20;06:40:00;105.635;105.655;105.624;105.631;332;0;0
2022.05.20;06:50:00;105.629;105.671;105.627;105.656;454;0;0
2022.05.20;07:00:00;105.655;105.709;105.623;105.706;533;0;0
2022.05.20;07:10:00;105.705;105.724;105.687;105.723;323;0;0
2022.05.20;07:20:00;105.723;105.747;105.715;105.737;371;0;0
2022.05.20;07:30:00;105.740;105.741;105.708;105.711;339;0;0
2022.05.20;07:40:00;105.711;105.742;105.700;105.733;239;0;0
2022.05.20;07:50:00;105.732;105.745;105.720;105.738;197;0;0
2022.05.20;08:00:00;105.740;105.743;105.713;105.740;287;0;0
2022.05.20;08:10:00;105.737;105.809;105.737;105.800;437;0;0
2022.05.20;08:20:00;105.801;105.811;105.747;105.756;399;0;0
2022.05.20;08:30:00;105.756;105.861;105.754;105.848;543;0;0
2022.05.20;08:40:00;105.848;105.868;105.808;105.815;510;0;0
2022.05.20;08:50:00;105.814;105.935;105.793;105.899;956;0;0
2022.05.20;09:00:00;105.898;105.919;105.834;105.888;1282;0;0
2022.05.20;09:10:00;105.889;105.903;105.839;105.853;948;0;0
2022.05.20;09:20:00;105.854;105.884;105.813;105.835;1020;0;0
2022.05.20;09:30:00;105.835;105.917;105.829;105.875;712;0;0
2022.05.20;09:40:00;105.879;105.892;105.814;105.818;716;0;0
2022.05.20;09:50:00;105.818;105.848;105.766;105.788;805;0;0
2022.05.20;10:00:00;105.791;105.808;105.738;105.775;1370;0;0
2022.05.20;10:10:00;105.774;105.810;105.718;105.724;1205;0;0
2022.05.20;10:20:00;105.723;105.749;105.651;105.709;958;0;0
2022.05.20;10:30:00;105.709;105.781;105.666;105.674;1139;0;0
2022.05.20;10:40:00;105.674;105.815;105.669;105.815;1078;0;0
2022.05.20;10:50:00;105.815;105.830;105.749;105.760;867;0;0
2022.05.20;11:00:00;105.762;105.763;105.644;105.649;711;0;0
2022.05.20;11:10:00;105.651;105.725;105.542;105.586;1125;0;0
2022.05.20;11:20:00;105.586;105.669;105.581;105.660;923;0;0
2022.05.20;11:30:00;105.660;105.752;105.654;105.749;774;0;0
2022.05.20;11:40:00;105.749;105.794;105.744;105.763;848;0;0
2022.05.20;11:50:00;105.765;105.812;105.754;105.754;721;0;0
2022.05.20;12:00:00;105.752;105.775;105.717;105.751;737;0;0
2022.05.20;12:10:00;105.751;105.832;105.750;105.824;602;0;0
2022.05.20;12:20:00;105.824;105.890;105.811;105.859;613;0;0
2022.05.20;12:30:00;105.859;105.862;105.823;105.832;455;0;0
2022.05.20;12:40:00;105.832;105.854;105.809;105.850;408;0;0
2022.05.20;12:50:00;105.849;105.933;105.842;105.908;525;0;0
2022.05.20;13:00:00;105.908;105.966;105.850;105.924;676;0;0
2022.05.20;13:10:00;105.924;105.945;105.877;105.939;493;0;0
2022.05.20;13:20:00;105.939;105.990;105.899;105.959;607;0;0
2022.05.20;13:30:00;105.960;105.969;105.843;105.882;492;0;0
2022.05.20;13:40:00;105.882;105.910;105.847;105.853;540;0;0
2022.05.20;13:50:00;105.853;105.893;105.853;105.881;680;0;0
2022.05.20;14:00:00;105.879;105.879;105.753;105.783;832;0;0
2022.05.20;14:10:00;105.783;105.840;105.767;105.825;577;0;0
2022.05.20;14:20:00;105.825;105.836;105.767;105.780;449;0;0
2022.05.20;14:30:00;105.780;105.809;105.743;105.792;525;0;0
2022.05.20;14:40:00;105.792;105.809;105.724;105.727;539;0;0
2022.05.20;14:50:00;105.727;105.748;105.661;105.669;1040;0;0
2022.05.20;15:00:00;105.667;105.756;105.661;105.752;867;0;0
2022.05.20;15:10:00;105.752;105.800;105.726;105.754;755;0;0
2022.05.20;15:20:00;105.754;105.785;105.722;105.757;829;0;0
2022.05.20;15:30:00;105.757;105.801;105.744;105.770;852;0;0
2022.05.20;15:40:00;105.771;105.794;105.737;105.737;791;0;0
2022.05.20;15:50:00;105.737;105.744;105.609;105.637;962;0;0
2022.05.20;16:00:00;105.637;105.678;105.612;105.673;925;0;0
2022.05.20;16:10:00;105.673;105.712;105.653;105.670;697;0;0
2022.05.20;16:20:00;105.670;105.706;105.603;105.628;930;0;0
2022.05.20;16:30:00;105.628;105.656;105.567;105.573;1569;0;0
2022.05.20;16:40:00;105.574;105.666;105.558;105.593;1419;0;0
2022.05.20;16:50:00;105.596;105.653;105.594;105.616;1423;0;0
2022.05.20;17:00:00;105.615;105.642;105.423;105.423;1525;0;0
2022.05.20;17:10:00;105.423;105.598;105.405;105.578;1523;0;0
2022.05.20;17:20:00;105.577;105.650;105.553;105.577;1263;0;0
2022.05.20;17:30:00;105.577;105.654;105.562;105.626;1305;0;0
2022.05.20;17:40:00;105.626;105.649;105.586;105.645;1177;0;0
2022.05.20;17:50:00;105.646;105.650;105.524;105.572;1428;0;0
2022.05.20;18:00:00;105.573;105.580;105.520;105.535;1152;0;0
2022.05.20;18:10:00;105.535;105.563;105.517;105.518;1096;0;0
2022.05.20;18:20:00;105.521;105.530;105.450;105.476;1001;0;0
2022.05.20;18:30:00;105.477;105.572;105.468;105.572;979;0;0
2022.05.20;18:40:00;105.572;105.642;105.562;105.617;1009;0;0
2022.05.20;18:50:00;105.617;105.636;105.570;105.585;913;0;0
2022.05.20;19:00:00;105.585;105.600;105.457;105.465;874;0;0
2022.05.20;19:10:00;105.464;105.469;105.397;105.463;1022;0;0
2022.05.20;19:20:00;105.466;105.532;105.466;105.532;731;0;0
2022.05.20;19:30:00;105.532;105.572;105.511;105.534;756;0;0
2022.05.20;19:40:00;105.534;105.583;105.523;105.573;735;0;0
2022.05.20;19:50:00;105.573;105.580;105.484;105.504;902;0;0
2022.05.20;20:00:00;105.504;105.513;105.456;105.501;895;0;0
2022.05.20;20:10:00;105.501;105.546;105.478;105.515;734;0;0
2022.05.20;20:20:00;105.515;105.538;105.463;105.473;569;0;0
2022.05.20;20:30:00;105.474;105.521;105.448;105.453;681;0;0
2022.05.20;20:40:00;105.453;105.540;105.443;105.534;1013;0;0
2022.05.20;20:50:00;105.534;105.541;105.443;105.457;874;0;0
2022.05.20;21:00:00;105.457;105.487;105.376;105.420;916;0;0
2022.05.20;21:10:00;105.420;105.430;105.370;105.385;870;0;0
2022.05.20;21:20:00;105.385;105.388;105.329;105.339;881;0;0
2022.05.20;21:30:00;105.337;105.389;105.328;105.375;801;0;0
2022.05.20;21:40:00;105.376;105.447;105.375;105.439;801;0;0
2022.05.20;21:50:00;105.439;105.487;105.426;105.453;937;0;0
2022.05.20;22:00:00;105.454;105.522;105.449;105.464;1072;0;0
2022.05.20;22:10:00;105.464;105.511;105.440;105.501;626;0;0
2022.05.20;22:20:00;105.501;105.542;105.481;105.525;435;0;0
2022.05.20;22:30:00;105.525;105.580;105.507;105.571;677;0;0
2022.05.20;22:40:00;105.572;105.597;105.554;105.585;790;0;0
2022.05.20;22:50:00;105.582;105.591;105.543;105.560;640;0;0
2022.05.20;23:00:00;105.560;105.561;105.525;105.539;230;0;5
2022.05.20;23:10:00;105.539;105.575;105.539;105.566;195;0;6
2022.05.20;23:20:00;105.566;105.671;105.557;105.603;459;0;6
2022.05.20;23:30:00;105.603;105.628;105.592;105.618;284;0;7
2022.05.20;23:40:00;105.619;105.636;105.602;105.610;228;0;8
2022.05.20;23:50:00;105.610;105.610;105.579;105.582;84;0;8
2022.05.23;00:00:00;105.601;105.620;105.598;105.616;34;0;56
2022.05.23;00:10:00;105.618;105.622;105.594;105.622;52;0;38
2022.05.23;00:20:00;105.622;105.630;105.596;105.611;57;0;30
2022.05.23;00:30:00;105.611;105.620;105.601;105.613;59;0;18
2022.05.23;00:40:00;105.608;105.621;105.598;105.618;55;0;19
2022.05.23;00:50:00;105.607;105.617;105.561;105.574;56;0;24
2022.05.23;01:00:00;105.597;105.664;105.581;105.658;210;0;15
2022.05.23;01:10:00;105.649;105.745;105.645;105.730;360;0;14
2022.05.23;01:20:00;105.731;105.736;105.709;105.714;349;0;12
2022.05.23;01:30:00;105.714;105.742;105.704;105.741;316;0;8
2022.05.23;01:40:00;105.740;105.747;105.722;105.745;322;0;12
2022.05.23;01:50:00;105.745;105.768;105.736;105.763;283;0;7
2022.05.23;02:00:00;105.762;105.777;105.720;105.762;319;0;1
2022.05.23;02:10:00;105.766;105.776;105.717;105.730;393;0;1
2022.05.23;02:20:00;105.731;105.758;105.711;105.749;405;0;1
2022.05.23;02:30:00;105.749;105.759;105.733;105.743;397;0;0
2022.05.23;02:40:00;105.740;105.752;105.721;105.727;590;0;1
2022.05.23;02:50:00;105.727;105.732;105.689;105.691;199;0;0
2022.05.23;03:00:00;105.695;105.725;105.679;105.699;479;0;0
2022.05.23;03:10:00;105.699;105.775;105.694;105.770;239;0;1
2022.05.23;03:20:00;105.770;105.837;105.769;105.837;410;0;0
2022.05.23;03:30:00;105.837;105.899;105.827;105.884;434;0;0
2022.05.23;03:40:00;105.885;105.907;105.853;105.882;392;0;0
2022.05.23;03:50:00;105.882;105.906;105.808;105.826;679;0;0
