<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2022.05.20;00:00:00;0.63759;0.63809;0.63748;0.63789;41;0;61
2022.05.20;00:10:00;0.63779;0.63809;0.63777;0.63788;55;0;54
2022.05.20;00:20:00;0.63790;0.63820;0.63770;0.63809;49;0;45
2022.05.20;00:30:00;0.63809;0.63836;0.63773;0.63775;66;0;27
2022.05.20;00:40:00;0.63752;0.63792;0.63752;0.63786;47;0;26
2022.05.20;00:50:00;0.63778;0.63825;0.63756;0.63809;60;0;43
2022.05.20;01:00:00;0.63818;0.63849;0.63816;0.63838;64;0;15
2022.05.20;01:10:00;0.63843;0.63843;0.63798;0.63808;86;0;10
2022.05.20;01:20:00;0.63808;0.63821;0.63803;0.63816;163;0;12
2022.05.20;01:30:00;0.63817;0.63824;0.63792;0.63798;193;0;13
2022.05.20;01:40:00;0.63799;0.63838;0.63788;0.63813;137;0;14
2022.05.20;01:50:00;0.63812;0.63823;0.63792;0.63803;111;0;14
2022.05.20;02:00:00;0.63803;0.63814;0.63787;0.63803;127;0;10
2022.05.20;02:10:00;0.63803;0.63826;0.63803;0.63824;176;0;10
2022.05.20;02:20:00;0.63824;0.63839;0.63812;0.63833;227;0;11
2022.05.20;02:30:00;0.63833;0.63843;0.63820;0.63829;246;0;8
2022.05.20;02:40:00;0.63829;0.63848;0.63819;0.63828;236;0;10
2022.05.20;02:50:00;0.63828;0.63844;0.63797;0.63813;285;0;10
2022.05.20;03:00:00;0.63816;0.63870;0.63796;0.63865;553;0;4
2022.05.20;03:10:00;0.63864;0.63871;0.63793;0.63803;378;0;8
2022.05.20;03:20:00;0.63803;0.63834;0.63801;0.63832;410;0;10
2022.05.20;03:30:00;0.63832;0.63854;0.63822;0.63841;311;0;8
2022.05.20;03:40:00;0.63841;0.63841;0.63766;0.63771;432;0;10
2022.05.20;03:50:00;0.63770;0.63778;0.63732;0.63758;562;0;5
2022.05.20;04:00:00;0.63758;0.63817;0.63758;0.63809;334;0;9
2022.05.20;04:10:00;0.63809;0.63848;0.63752;0.63833;631;0;7
2022.05.20;04:20:00;0.63833;0.63853;0.63811;0.63823;599;0;6
2022.05.20;04:30:00;0.63823;0.63892;0.63818;0.63885;621;0;7
2022.05.20;04:40:00;0.63884;0.63898;0.63787;0.63787;553;0;6
2022.05.20;04:50:00;0.63787;0.63801;0.63764;0.63798;422;0;5
2022.05.20;05:00:00;0.63798;0.63811;0.63704;0.63711;526;0;8
2022.05.20;05:10:00;0.63711;0.63715;0.63660;0.63683;553;0;9
