<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2022.05.20;00:00:00;128.219;128.227;128.200;128.227;49;0;45
2022.05.20;00:10:00;128.227;128.228;128.200;128.226;115;0;45
2022.05.20;00:20:00;128.214;128.227;128.182;128.215;84;0;38
2022.05.20;00:30:00;128.215;128.230;128.175;128.194;92;0;26
2022.05.20;00:40:00;128.194;128.203;128.179;128.196;66;0;48
2022.05.20;00:50:00;128.212;128.224;128.179;128.217;42;0;21
2022.05.20;01:00:00;128.217;128.219;128.175;128.185;157;0;10
2022.05.20;01:10:00;128.185;128.221;128.178;128.204;213;0;10
2022.05.20;01:20:00;128.205;128.221;128.190;128.203;278;0;10
2022.05.20;01:30:00;128.203;128.235;128.197;128.227;260;0;10
2022.05.20;01:40:00;128.227;128.235;128.190;128.211;469;0;10
2022.05.20;01:50:00;128.212;128.221;128.146;128.167;343;0;10
2022.05.20;02:00:00;128.168;128.182;128.143;128.172;144;0;3
2022.05.20;02:10:00;128.172;128.197;128.157;128.179;133;0;3
2022.05.20;02:20:00;128.179;128.201;128.162;128.179;341;0;3
2022.05.20;02:30:00;128.180;128.197;128.170;128.186;622;0;3
2022.05.20;02:40:00;128.187;128.193;128.155;128.155;411;0;3
2022.05.20;02:50:00;128.155;128.204;128.147;128.177;654;0;1
2022.05.20;03:00:00;128.177;128.192;128.123;128.134;659;0;0
2022.05.20;03:10:00;128.130;128.219;128.113;128.207;590;0;1
2022.05.20;03:20:00;128.206;128.211;128.176;128.178;263;0;3
2022.05.20;03:30:00;128.178;128.188;128.163;128.171;419;0;2
2022.05.20;03:40:00;128.170;128.231;128.167;128.230;637;0;3
2022.05.20;03:50:00;128.231;128.296;128.205;128.214;673;0;2
2022.05.20;04:00:00;128.215;128.250;128.159;128.233;461;0;1
2022.05.20;04:10:00;128.233;128.267;128.149;128.159;600;0;3
2022.05.20;04:20:00;128.159;128.200;128.140;128.175;577;0;3
2022.05.20;04:30:00;128.173;128.186;128.070;128.085;1101;0;2
2022.05.20;04:40:00;128.082;128.157;128.069;128.152;528;0;3
2022.05.20;04:50:00;128.152;128.177;128.130;128.158;643;0;3
2022.05.20;05:00:00;128.157;128.302;128.153;128.287;575;0;0
2022.05.20;05:10:00;128.287;128.348;128.254;128.274;532;0;3
2022.05.20;05:20:00;128.274;128.283;128.229;128.234;353;0;3
2022.05.20;05:30:00;128.234;128.286;128.228;128.241;378;0;3
2022.05.20;05:40:00;128.242;128.262;128.214;128.221;518;0;3
2022.05.20;05:50:00;128.222;128.277;128.221;128.275;743;0;3
2022.05.20;06:00:00;128.276;128.306;128.270;128.288;533;0;2
2022.05.20;06:10:00;128.288;128.309;128.263;128.270;539;0;1
2022.05.20;06:20:00;128.270;128.300;128.265;128.287;484;0;1
2022.05.20;06:30:00;128.287;128.293;128.258;128.265;473;0;3
2022.05.20;06:40:00;128.264;128.322;128.263;128.320;380;0;0
2022.05.20;06:50:00;128.319;128.337;128.306;128.325;507;0;0
2022.05.20;07:00:00;128.325;128.344;128.262;128.268;630;0;0
2022.05.20;07:10:00;128.267;128.270;128.188;128.188;558;0;2
2022.05.20;07:20:00;128.188;128.199;128.106;128.117;266;0;2
2022.05.20;07:30:00;128.117;128.175;128.117;128.160;158;0;2
2022.05.20;07:40:00;128.160;128.174;128.131;128.137;168;0;2
2022.05.20;07:50:00;128.138;128.145;128.111;128.128;138;0;2
2022.05.20;08:00:00;128.128;128.178;128.111;128.143;323;0;2
2022.05.20;08:10:00;128.147;128.150;128.098;128.098;663;0;0
2022.05.20;08:20:00;128.096;128.140;128.042;128.119;691;0;0
2022.05.20;08:30:00;128.121;128.122;127.985;128.006;690;0;0
2022.05.20;08:40:00;128.006;128.023;127.978;128.019;615;0;2
2022.05.20;08:50:00;128.020;128.038;127.982;128.031;599;0;0
2022.05.20;09:00:00;128.031;128.072;127.990;127.990;688;0;2
2022.05.20;09:10:00;127.988;128.024;127.952;127.986;716;0;2
2022.05.20;09:20:00;127.986;128.065;127.971;128.052;692;0;2
2022.05.20;09:30:00;128.048;128.054;127.988;128.022;823;0;1
2022.05.20;09:40:00;128.022;128.039;127.975;128.019;1118;0;2
2022.05.20;09:50:00;128.020;128.057;128.003;128.023;1111;0;1
2022.05.20;10:00:00;128.024;128.047;127.973;128.000;1463;0;1
2022.05.20;10:10:00;128.001;128.015;127.928;127.985;1229;0;0
2022.05.20;10:20:00;127.985;128.073;127.971;128.055;920;0;0
2022.05.20;10:30:00;128.055;128.076;127.924;127.975;1127;0;0
2022.05.20;10:40:00;127.976;127.990;127.901;127.911;1055;0;0
2022.05.20;10:50:00;127.910;127.970;127.880;127.955;917;0;0
2022.05.20;11:00:00;127.955;128.028;127.951;127.992;829;0;0
2022.05.20;11:10:00;127.992;128.029;127.967;127.993;992;0;1
2022.05.20;11:20:00;127.993;128.008;127.931;127.935;809;0;0
2022.05.20;11:30:00;127.935;127.966;127.905;127.906;869;0;0
2022.05.20;11:40:00;127.906;127.912;127.863;127.900;531;0;2
2022.05.20;11:50:00;127.900;127.913;127.863;127.896;713;0;0
2022.05.20;12:00:00;127.895;127.920;127.805;127.824;523;0;0
2022.05.20;12:10:00;127.825;127.834;127.782;127.784;598;0;0
2022.05.20;12:20:00;127.784;127.840;127.783;127.814;616;0;0
2022.05.20;12:30:00;127.814;127.839;127.798;127.821;561;0;0
2022.05.20;12:40:00;127.821;127.864;127.793;127.794;524;0;0
2022.05.20;12:50:00;127.794;127.813;127.764;127.808;600;0;0
